county,hogan,cox,total_votes,pct_hogan,pct_cox
Allegany,19224,13833,44459,43.23983895274298,31.114060145302414
Anne Arundel,157202,73775,397754,39.5224183791992,18.54789643850219
Baltimore City,58360,11387,313264,18.62965422135962,3.6349532662546604
Baltimore County,198122,80759,550249,36.00588097388637,14.676809953312045
Calvert,29610,18447,72944,40.59278350515464,25.289262996271113
Caroline,9489,6727,21901,43.32678873110817,30.71549244326743
Carroll,62445,38969,141988,43.97906865368905,27.445277065667522
Cecil,27063,18159,62783,43.10561776277018,28.92343468773394
Charles,31756,15096,114272,27.78983478017362,13.210585270232428
Dorchester,9205,6169,23261,39.57267529340957,26.52078586475216
Frederick,72560,44307,206232,35.183676636021566,21.4840567904108
Garrett,9472,8195,22004,43.04671877840393,37.243228503908384
Harford,85259,51930,207212,41.14578306275698,25.0612898866861
Howard,80574,33110,264581,30.453433920047168,12.514126108828677
Kent,6370,3718,16933,37.618850764778834,21.957125140258665
Montgomery,180018,58701,702622,25.620888614361636,8.354563335620007
Prince George's,89925,17937,521962,17.22826565918592,3.4364570600924975
Queen Anne's,19503,12840,45225,43.124378109452735,28.391376451077942
SaintÂ Mary's,30703,NA,NA,NA,NA
Somerset,5203,3974,14130,36.82236376503892,28.124557678697805
Talbot,14081,7497,34207,41.16408922150437,21.916566784576254
Washington,38765,27571,96499,40.17140073990404,28.57128053140447
Wicomico,22659,14612,61322,36.950849613515544,23.82831610188839
Worcester,18076,13433,46324,39.020809947327514,28.997927640100162
